date,item_id,qnty
2019-11-06,100528,1.0
2019-11-06,100544,9.0
2019-11-06,100525,1.0
2019-11-06,100613,3.0
2019-11-06,100604,6.0
2019-11-06,100470,8.0
2019-11-06,100545,7.0
2019-11-06,100225,1.0
2019-11-06,100346,30.0
2019-11-06,100348,4.0
2019-11-06,100354,66.0
2019-11-06,100370,19.0
2019-11-06,100448,1.0
2019-11-06,100417,2.0
2019-11-06,100450,3.0
2019-11-06,100453,6.0
2019-11-06,100454,5.0
2019-11-06,100386,1.0
2019-11-06,100228,2.0
2019-11-06,100001,2.0
2019-11-06,100245,4.0
2019-11-06,100192,2.0
2019-11-06,100193,1.0
2019-11-06,100462,1.0
2019-11-06,100691,2.0
2019-11-06,100003,1.0
2019-11-06,100006,3.0
2019-11-06,100469,3.0
2019-11-06,100035,18.0
2019-11-06,100165,17.0
2019-11-06,100176,8.0
2019-11-06,100181,1.0
2019-11-06,100188,1.0
2019-11-06,100010,6.0
2019-11-07,100601,3.0
2019-11-07,100591,2.0
2019-11-07,100551,1.0
2019-11-07,100528,3.0
2019-11-07,100524,2.0
2019-11-07,100525,5.0
2019-11-07,100523,1.0
2019-11-07,100516,19.0
2019-11-07,100006,5.0
2019-11-07,100510,9.0
2019-11-07,100526,1.0
2019-11-07,100602,2.0
2019-11-07,100611,7.0
2019-11-07,100545,1.0
2019-11-07,100607,1.0
2019-11-07,100001,2.0
2019-11-07,11200,331.0
2019-11-07,100645,2.0
2019-11-07,100003,2.0
2019-11-07,100638,3.0
2019-11-07,100614,2.0
2019-11-07,100613,5.0
2019-11-07,100612,6.0
2019-11-07,100035,15.0
2019-11-07,100639,1.0
2019-11-07,100604,5.0
2019-11-07,100650,11.0
2019-11-07,100010,5.0
2019-11-07,100474,3.0
2019-11-07,100354,121.0
2019-11-07,100259,14.0
2019-11-07,100228,2.0
2019-11-07,100257,30.0
2019-11-07,100245,16.0
2019-11-07,100227,2.0
2019-11-07,100140,2.0
2019-11-07,100182,1.0
2019-11-07,100176,17.0
2019-11-07,100165,35.0
2019-11-07,100691,1.0
2019-11-07,100225,2.0
2019-11-07,100188,1.0
2019-11-07,100486,5.0
2019-11-07,100346,21.0
2019-11-07,100470,5.0
2019-11-07,100469,4.0
2019-11-07,100454,3.0
2019-11-07,100450,1.0
2019-11-07,100473,2.0
2019-11-07,100418,1.0
2019-11-07,100417,1.0
2019-11-07,100386,3.0
2019-11-07,100375,2.0
2019-11-07,100448,12.0
2019-11-08,100645,3.0
2019-11-08,100639,1.0
2019-11-08,100638,2.0
2019-11-08,100621,2.0
2019-11-08,100613,7.0
2019-11-08,100611,19.0
2019-11-08,100604,6.0
2019-11-08,100602,5.0
2019-11-08,100525,4.0
2019-11-08,100650,26.0
2019-11-08,100612,17.0
2019-11-08,100668,1.0
2019-11-08,100526,1.0
2019-11-08,100455,3.0
2019-11-08,100469,2.0
2019-11-08,100470,10.0
2019-11-08,100473,2.0
2019-11-08,100474,2.0
2019-11-08,100486,2.0
2019-11-08,100487,5.0
2019-11-08,100510,8.0
2019-11-08,100516,49.0
2019-11-08,100524,5.0
2019-11-08,100450,1.0
2019-11-08,100614,5.0
2019-11-08,100354,112.0
2019-11-08,100528,3.0
2019-11-08,100192,3.0
2019-11-08,100176,9.0
2019-11-08,100165,28.0
2019-11-08,100140,1.0
2019-11-08,100035,13.0
2019-11-08,100010,5.0
2019-11-08,100003,7.0
2019-11-08,100001,7.0
2019-11-08,100601,3.0
2019-11-08,100596,1.0
2019-11-08,100182,2.0
2019-11-08,100006,3.0
2019-11-08,100184,2.0
2019-11-08,100544,1.0
2019-11-08,100225,6.0
2019-11-08,100448,2.0
2019-11-08,100591,4.0
2019-11-08,100417,1.0
2019-11-08,100386,3.0
2019-11-08,100348,2.0
2019-11-08,100394,1.0
2019-11-08,100257,12.0
2019-11-08,100245,6.0
2019-11-08,100228,2.0
2019-11-08,100227,5.0
2019-11-08,100346,70.0
2019-11-09,100486,5.0
2019-11-09,100516,54.0
2019-11-09,100510,7.0
2019-11-09,100487,5.0
2019-11-09,100474,8.0
2019-11-09,100454,4.0
2019-11-09,100470,8.0
2019-11-09,100469,1.0
2019-11-09,100462,2.0
2019-11-09,100523,5.0
2019-11-09,100645,2.0
2019-11-09,100473,7.0
2019-11-09,100524,2.0
2019-11-09,100613,3.0
2019-11-09,100526,3.0
2019-11-09,100638,4.0
2019-11-09,100621,1.0
2019-11-09,100614,7.0
2019-11-09,100525,5.0
2019-11-09,100611,6.0
2019-11-09,100612,4.0
2019-11-09,100602,10.0
2019-11-09,100591,4.0
2019-11-09,100545,1.0
2019-11-09,100639,1.0
2019-11-09,100528,4.0
2019-11-09,100604,5.0
2019-11-09,100450,6.0
2019-11-09,100455,1.0
2019-11-09,100544,1.0
2019-11-09,100193,1.0
2019-11-09,100140,1.0
2019-11-09,100176,18.0
2019-11-09,100182,3.0
2019-11-09,100139,1.0
2019-11-09,100035,13.0
2019-11-09,100691,2.0
2019-11-09,100006,12.0
2019-11-09,100003,3.0
2019-11-09,100001,3.0
2019-11-09,100683,1.0
2019-11-09,100184,2.0
2019-11-09,100010,1.0
2019-11-09,100192,2.0
2019-11-09,100165,35.0
2019-11-09,100225,4.0
2019-11-09,100394,1.0
2019-11-09,100417,1.0
2019-11-09,100650,15.0
2019-11-09,100386,4.0
2019-11-09,100418,10.0
2019-11-09,100375,1.0
2019-11-09,100646,2.0
2019-11-09,100354,104.0
2019-11-09,100348,1.0
2019-11-09,100346,20.0
2019-11-09,100259,2.0
2019-11-09,100370,1.0
2019-11-09,100257,1.0
2019-11-09,100227,2.0
2019-11-10,100525,2.0
2019-11-10,100524,1.0
2019-11-10,100523,3.0
2019-11-10,100510,10.0
2019-11-10,100691,2.0
2019-11-10,100526,5.0
2019-11-10,100650,8.0
2019-11-10,100639,4.0
2019-11-10,100638,6.0
2019-11-10,100001,1.0
2019-11-10,100486,8.0
2019-11-10,100528,2.0
2019-11-10,100530,2.0
2019-11-10,100545,2.0
2019-11-10,100613,1.0
2019-11-10,100612,5.0
2019-11-10,100607,3.0
2019-11-10,100611,10.0
2019-11-10,100596,1.0
2019-11-10,100591,4.0
2019-11-10,100547,1.0
2019-11-10,100602,7.0
2019-11-10,100614,6.0
2019-11-10,100621,3.0
2019-11-10,100516,56.0
2019-11-10,100604,6.0
2019-11-10,100003,1.0
2019-11-10,100259,12.0
2019-11-10,100370,1.0
2019-11-10,100227,1.0
2019-11-10,100225,1.0
2019-11-10,100192,4.0
2019-11-10,100182,2.0
2019-11-10,100010,5.0
2019-11-10,100140,3.0
2019-11-10,100045,1.0
2019-11-10,100035,11.0
2019-11-10,100245,10.0
2019-11-10,100176,22.0
2019-11-10,100257,4.0
2019-11-10,100165,13.0
2019-11-10,100346,21.0
2019-11-10,100450,8.0
2019-11-10,100474,8.0
2019-11-10,100473,3.0
2019-11-10,100470,19.0
2019-11-10,100462,2.0
2019-11-10,100006,3.0
2019-11-10,100454,3.0
2019-11-10,100386,4.0
2019-11-10,100354,110.0
2019-11-10,100348,3.0
2019-11-10,100455,2.0
2019-11-11,100462,2.0
2019-11-11,100455,2.0
2019-11-11,100454,1.0
2019-11-11,100453,1.0
2019-11-11,100450,2.0
2019-11-11,100601,3.0
2019-11-11,100386,3.0
2019-11-11,100417,7.0
2019-11-11,100354,19.0
2019-11-11,100348,2.0
2019-11-11,100346,80.0
2019-11-11,100418,1.0
2019-11-11,100448,1.0
2019-11-11,100516,42.0
2019-11-11,100464,1.0
2019-11-11,100591,3.0
2019-11-11,100545,1.0
2019-11-11,100525,2.0
2019-11-11,100523,1.0
2019-11-11,100524,1.0
2019-11-11,11200,277.0
2019-11-11,100487,1.0
2019-11-11,100474,3.0
2019-11-11,100473,4.0
2019-11-11,100470,9.0
2019-11-11,100596,1.0
2019-11-11,100469,3.0
2019-11-11,100510,9.0
2019-11-11,100003,2.0
2019-11-11,100035,16.0
2019-11-11,100638,1.0
2019-11-11,100001,1.0
2019-11-11,100652,1.0
2019-11-11,100650,8.0
2019-11-11,100607,2.0
2019-11-11,100613,1.0
2019-11-11,100612,10.0
2019-11-11,100611,4.0
2019-11-11,100006,2.0
2019-11-11,100614,7.0
2019-11-11,100010,1.0
2019-11-11,100257,3.0
2019-11-11,100602,2.0
2019-11-11,100176,4.0
2019-11-11,100259,10.0
2019-11-11,100604,2.0
2019-11-11,100245,19.0
2019-11-11,100165,32.0
2019-11-11,100227,3.0
2019-11-11,100228,1.0
2019-11-11,100193,1.0
2019-11-11,100192,2.0
2019-11-11,100188,3.0
2019-11-11,100184,1.0
2019-11-11,100182,3.0
2019-11-11,100225,3.0
2019-11-12,100417,3.0
2019-11-12,100448,1.0
2019-11-12,100454,5.0
2019-11-12,100455,2.0
2019-11-12,100003,1.0
2019-11-12,100470,7.0
2019-11-12,100473,3.0
2019-11-12,100474,2.0
2019-11-12,100486,4.0
2019-11-12,100399,1.0
2019-11-12,100469,7.0
2019-11-12,100386,4.0
2019-11-12,100639,2.0
2019-11-12,100354,24.0
2019-11-12,100346,71.0
2019-11-12,11200,278.0
2019-11-12,100650,15.0
2019-11-12,100638,7.0
2019-11-12,100621,1.0
2019-11-12,100614,7.0
2019-11-12,100613,4.0
2019-11-12,100612,6.0
2019-11-12,100611,11.0
2019-11-12,100487,2.0
2019-11-12,100370,1.0
2019-11-12,100607,3.0
2019-11-12,100604,2.0
2019-11-12,100602,3.0
2019-11-12,100516,50.0
2019-11-12,100259,21.0
2019-11-12,100691,1.0
2019-11-12,100510,10.0
2019-11-12,100006,6.0
2019-11-12,100257,7.0
2019-11-12,100524,1.0
2019-11-12,100544,1.0
2019-11-12,100545,1.0
2019-11-12,100591,3.0
2019-11-12,100523,4.0
2019-11-12,100245,3.0
2019-11-12,100001,3.0
2019-11-12,100227,1.0
2019-11-12,100228,1.0
2019-11-12,100010,1.0
2019-11-12,100035,10.0
2019-11-12,100601,6.0
2019-11-12,100165,31.0
2019-11-12,100140,1.0
2019-11-12,100182,4.0
2019-11-12,100184,1.0
2019-11-12,100192,1.0
2019-11-12,100193,1.0
2019-11-12,100225,1.0
2019-11-12,100176,3.0
2019-11-13,100604,2.0
2019-11-13,100516,44.0
2019-11-13,100601,4.0
2019-11-13,100591,2.0
2019-11-13,100006,8.0
2019-11-13,100530,1.0
2019-11-13,100528,2.0
2019-11-13,100526,1.0
2019-11-13,100525,1.0
2019-11-13,100607,1.0
2019-11-13,100545,1.0
2019-11-13,100010,5.0
2019-11-13,100650,8.0
2019-11-13,100613,4.0
2019-11-13,100614,9.0
2019-11-13,100621,1.0
2019-11-13,100638,5.0
2019-11-13,100639,4.0
2019-11-13,100652,1.0
2019-11-13,11200,303.0
2019-11-13,100510,10.0
2019-11-13,100003,6.0
2019-11-13,100612,8.0
2019-11-13,100523,1.0
2019-11-13,100035,9.0
2019-11-13,100611,10.0
2019-11-13,100517,2.0
2019-11-13,100487,1.0
2019-11-13,100486,2.0
2019-11-13,100370,2.0
2019-11-13,100184,2.0
2019-11-13,100001,3.0
2019-11-13,100602,2.0
2019-11-13,100176,8.0
2019-11-13,100182,2.0
2019-11-13,100192,1.0
2019-11-13,100225,2.0
2019-11-13,100245,1.0
2019-11-13,100257,9.0
2019-11-13,100259,11.0
2019-11-13,100691,1.0
2019-11-13,100193,1.0
2019-11-13,100165,19.0
2019-11-13,100474,4.0
2019-11-13,100346,31.0
2019-11-13,100473,4.0
2019-11-13,100470,2.0
2019-11-13,100455,1.0
2019-11-13,100469,3.0
2019-11-13,100448,3.0
2019-11-13,100417,2.0
2019-11-13,100386,7.0
2019-11-13,100354,27.0
2019-11-13,100454,3.0
2019-11-14,100225,1.0
2019-11-14,100245,10.0
2019-11-14,100228,1.0
2019-11-14,100227,2.0
2019-11-14,100193,2.0
2019-11-14,100006,1.0
2019-11-14,100184,1.0
2019-11-14,100182,3.0
2019-11-14,100003,5.0
2019-11-14,100474,9.0
2019-11-14,100192,2.0
2019-11-14,100257,28.0
2019-11-14,100010,3.0
2019-11-14,100370,3.0
2019-11-14,100386,11.0
